source_document,page,feature,normalized_feature
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,4,"HTTPS/HSTS4,TLSv1.2/v1.34,NetworkTimeSecurity","https/hsts4,tlsv1.2/v1.34,networktimesecurity"
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,4,241g(0.53lb),241g(0.53lb)
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,4,"(NTS),X.509CertificatePKI,host-basedfirewall","(nts),x.509certificatepki,host-basedfirewall"
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,4,Boxcontent,boxcontent
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,4,Documentation,documentation
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,4,"Camera,Installationguide,Windows®decoder1-user","camera,installationguide,windows®decoder1-user"
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,4,AXISHardeningGuide,axishardeningguide
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,4,"license,lenstool","license,lenstool"
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,4,AXISVulnerabilityManagementPolicy,axisvulnerabilitymanagementpolicy
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,4,AXISSecurityDevelopmentModel,axissecuritydevelopmentmodel
